"","YearsExperience","Salary","EmployeeName"
"1",1.1,39343,"Bondi, Karla"
"2",1.3,46205,"Leach, Delina"
"3",1.5,37731,"Koslosky, Kylie"
"4",2,43525,"Chung, Brightzen"
"5",2.2,39891,"Parker, Alena"
"6",2.9,56642,"Laird, Fletcher"
"7",3,60150,"Burton, Markus"
"8",3.2,54445,"Hansen, Werner"
"9",3.2,64445,"Connors, Anthony"
"10",3.7,57189,"Romero, Mario"
"11",3.9,63218,"Reeves, Anthony"
"12",4,55794,"Germuska, Graham"
"13",4,56957,"Earnest, Angel"
"14",4.1,57081,"Enriquez, Felicia"
"15",4.5,61111,"el-Agha, Zaahir"
"16",4.9,67938,"Alexander, Marcus"
"17",5.1,66029,"al-Amin, Humaid"
"18",5.3,83088,"Tindle, Richard"
"19",5.9,81363,"Park, William"
"20",6,93940,"al-Shareef, Turki"
"21",6.8,91738,"Copeland-Doyle, Jazmine"
"22",7.1,98273,"Rice, Ace"
"23",7.9,101302,"Akina, Elijah"
"24",8.2,113812,"Shrestha, Lael"
"25",8.7,109431,"Dance, Latrice"
"26",9,105582,"el-Farrah, Waseema"
"27",9.5,116969,"Miller, Randa"
"28",9.6,112635,"Do, Samantha"
"29",10.3,122391,"Pahlavan, Kaitlin"
"30",10.5,121872,"Mickey, Jacob"
